candidate_id,estate,source_id,node_type,title,document_or_part,paragraph_or_rule,url,matched_amounts,rule_based_reason,snippet
cand-00358,rule,939f1a0337b82fe4,rule,4.5,Management Expenses in Respect of Relevant Schemes,4.5,https://www.prarulebook.co.uk/pra-rules/management-expenses-in-respect-of-relevant-schemes/01-06-2026#a6a7c30eddff4fc5a867506f427bcadf,£250,Monetary amount appears with threshold/trigger language.,"If a firm (and, where applicable, the Society ), does not pay the total amount of its share of a MERS levy , before the end of the date on which it is due, it must pay an additional amount as follows: (1) if the MERS levy was not paid in full before the end of the due date, an administrative fee of £250; and (2) interest on any unpaid part of the MERS levy or administrative fee at the rate of 5% per annum above the Official Bank Rate from time to time in force, accruing on a daily basis from the date on which the amount concerned became due."
cand-00359,rule,6d53d1e11d7ae1ca,rule,3.2,Minimum Capital Requirement,3.2,https://www.prarulebook.co.uk/pra-rules/minimum-capital-requirement/01-06-2026#965c1f3c028f41a3a7128379f39abac9,"£2,400,000; £3,500,000",Monetary amount appears with threshold/trigger language.,"The MCR must have an absolute floor of: (1) £2,400,000 for firms , including captive insurers , which have Part 4A permission to effect contracts of insurance or carry out contracts of insurance that are contracts of general insurance , except in the case where all or some of the general insurance business classes 10 to 15 are covered, in which case it must be no less than £3,500,000; (2) £3,500,000 for firms , including captive insurers , which have Part 4A permission to effect contracts of insurance or carry out contracts of insurance that are contracts of long term insurance ; (3) £3,500,000 for pure reinsurer s , except in the case of captive reinsurers that are pure reinsurers , in whic"
cand-00360,rule,6d53d1e11d7ae1ca,rule,3.2,Minimum Capital Requirement,3.2,https://www.prarulebook.co.uk/pra-rules/minimum-capital-requirement/01-06-2026#965c1f3c028f41a3a7128379f39abac9,"£1,200,000",Monetary amount appears with threshold/trigger language.,"0 for pure reinsurer s , except in the case of captive reinsurers that are pure reinsurers , in which case the MCR must be no less than £1,200,000; (4) Unless (5) applies, the sum of the amounts set out in (1) and (2) for composite firms other than pure reinsurers ; or (5) For composite firms , other than pure reinsurers , whose Part 4A permission in relation to general insurance business is limited to general insurance business class 1 (accident) or class 2 (sickness) and where the gross written premiums for either: (a) general insurance business ; or (b) long-term insurance business , do not exceed 10% of total gross written premiums of the firm as a whole, the amount set out in (2)."
cand-00361,rule,262e72a3e8c5f31e,rule,12.2,Notifications,12.2,https://www.prarulebook.co.uk/pra-rules/notifications/01-06-2026#0b1cfdc5cce54f19a4cd6ea04b461a20,£25 billion,Monetary amount appears with threshold/trigger language.,"A firm must notify the PRA within 30 days after it becomes aware, or has information which reasonably suggests, that any of the following has occurred: (1) if the firm is not in a group , its total core deposits : (a) have increased over £25 billion; or (b) have decreased to less than or equal to £25 billion, (2) if the firm is in a group , the sum of core deposits of all relevant group members : (a) has increased over £25 billion; or (b) has decreased to less than or equal to £25 billion."
cand-00362,rule,e6e1a571e27ea759,rule,1.1,Operational Continuity,1.1,https://www.prarulebook.co.uk/pra-rules/operational-continuity/01-06-2026#aa0d797070ef4ac5adea453171e23349,£10bn; £350m,Monetary amount appears with threshold/trigger language.,"This Part applies to a CRR firm that receives critical services supporting critical functions if it fulfils any of the following conditions on 1 January of any year: (1) the average of the firm’s total assets it was required to report for the previous 36 months in accordance with Chapters 7 and 9 of the Regulatory Reporting Part of the PRA Rulebook exceeds £10bn; (2) the average of the firm’s safe custody assets it was required to report for the previous 36 months in accordance with SUP 16.14 of the FCA Handbook as amended from time to time exceeds £10bn; or (3) the average total amount of received sight deposits it was required to report for the previous 36 months in accordance with the ITS on supervisory reporting , or that it would have had to report if the ITS on supervisory reporting had been in force, exceeds £350m."
cand-00363,rule,45581408d95b034c,rule,Article 15e(8),Own Funds (CRR),8,https://www.prarulebook.co.uk/pra-rules/own-funds-crr/01-06-2026#0926d482a5f04e1fab5b7771a8201746,GBP 8.8 m,Monetary amount appears with threshold/trigger language.,"By way of derogation from paragraph 7 of this Article, the institution shall treat the amount of funding that it holds in the intermediate entity as a non-significant investment and shall deduct them in accordance with point (h) of Article 36(1) of the CRR , where all of the following conditions are met: (a) the amounts of funding are less than 0.25% of the institution's Common Equity Tier 1 capital; (b) the amounts of funding are less than GBP 8.8 million; (c) the institution cannot reasonably determine the amounts of its own Common Equity Tier 1 instruments that the intermediate entity holds."
cand-00364,rule,52a6095d84d2fec4,rule,21.1,Policyholder Protection,21.1,https://www.prarulebook.co.uk/pra-rules/policyholder-protection/01-06-2026#d9d3752e07eb410fbca1524a72a635bb,£250,Monetary amount appears with threshold/trigger language.,"If a participant firm does not pay the total amount of the participant firm’s share of the FSCS levy, before the end of the date on which it is due, under the relevant provision in this Part, that participant firm must pay an additional amount as follows: (1) if the share of the FSCS levy owing was not paid in full before the end of the due date, an administrative fee of £250; plus (2) interest on any unpaid part of the share of the FSCS levy owing at the rate of 5% per annum above the Official Bank Rate from time to time in force, accruing on a daily basis from the date on which the amount concerned became due."
cand-00365,rule,c8546ced1432b036,rule,21.44,Policyholder Protection,21.44,https://www.prarulebook.co.uk/pra-rules/policyholder-protection/01-06-2026#332d8235c00c4195918e419b79c6bbb8,£250,Monetary amount appears with threshold/trigger language.,"If a participant firm does not submit a complete statement by the date on which it is due in accordance with 21.42A and any prescribed submission procedures: (1) the firm must pay an administrative fee of £250 (but not if it is already subject to an administrative fee for non-submission of data in the same financial year required under this Part, or any other PRA rule or rule in the FCA Handbook); and (2) the compensation costs levy and any specific costs levy will be calculated using (where relevant) the valuation or valuations of business applicable to the previous period, multiplied by a factor of 1.10 (or if it has become a participant firm part way through the financial year, on the basis of information provided to the PRA for the purposes of Fees or on any other reasonable basis, making such adjustments as seem appropriate in subsequent levies once the true figures are known)."
cand-00376,rule,d52ff348b28f2c07,rule,20.10,Regulatory Reporting,20.10,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#eda6c83544364205be2e8dbf05418c50,£5 billion,Monetary amount appears with threshold/trigger language.,"A firm satisfies Capital+ condition 5 if it: (1) is part of a consolidation group ; (2) has total assets greater than £5 billion: (a) if the firm is a UK parent institution on the basis of its consolidated situation ; or (b) if the firm is controlled by a UK parent financial holding company , a UK parent mixed financial holding company or a UK parent institution and the PRA is responsible for supervision of that UK holding company or UK parent institution on a consolidated basis , on the basis of the consolidated situation of that UK holding company or UK parent institution ; and (3) does not satisfy Capital+ condition 1 on the basis of 20.6 (1) or 20.6 (2) or Capital+ condition 3 on the basis of 20.8 (1) or 20.8 (2)."
cand-00377,rule,d40d4aa18671ad04,rule,20.10A,Regulatory Reporting,20.10A,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#2030321f0e22403ca0e103a5ada032d7,£5 billion,Monetary amount appears with threshold/trigger language.,A firm satisfies Capital+ condition 5 if it is a ring-fenced body that is part of a sub-consolidation group and has total assets greater than £5 billion on a sub-consolidated basis and does not satisfy Capital+ condition 1 on the basis of 20.6 (4) or Capital+ condition 3 on the basis of 20.8 (4).
cand-00378,rule,84e39b17a9100d56,rule,20.11,Regulatory Reporting,20.11,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#be81da1bb2fa4ff49a8b3391bb224401,£5 billion,Monetary amount appears with threshold/trigger language.,"A firm satisfies Capital+ condition 6 if it has total assets greater than £5 billion on an individual basis and: (1) if it is not part of a consolidation group , where it does not satisfy Capital+ condition 1 or Capital+ condition 3 ; or (2) if it is part of a consolidation group , where it does not satisfy Capital+ condition 2 or Capital+ condition 4 ."
cand-00372,rule,1514cca3501ab36b,rule,20.6,Regulatory Reporting,20.6,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#e464ad7f6e354dfca140dbfd07766b96,£50 billion; £320 billion,Monetary amount appears with threshold/trigger language.,"A firm satisfies Capital+ condition 1 : (1) if the firm is UK parent institution , where it has retail deposits equal to or greater than £50 billion and total assets equal to or greater than £320 billion on the basis of its consolidated situation ; (2) if the firm is controlled by a UK parent financial holding company , a UK parent mixed financial holding company or a UK parent institution a nd the PRA is responsible for supervision of that holding company or UK parent institution on a consolidated basis , where it has retail deposits equal to or greater than £50 billion and total assets equal to or greater than £320 billion on the basis of the consolidated situation of that UK holding company or UK parent institution . (3) if the firm is not part of a consolidation group , where it has retail deposits equal to or greater than £50 billion and total assets equal to or greater than £320 billion on an individual basis; or (4) if the firm is a ring-fenced body that is part of a sub-consolidation group , where it has retail deposits equal to or greater than £50 billion and total assets equal to or greater than £320 billion on a sub-consolidated basis ."
cand-00373,rule,cc814074ab438226,rule,20.7,Regulatory Reporting,20.7,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#8e930d06b41446fd89be56d1ad3976e0,£50 billion,Monetary amount appears with threshold/trigger language.,A firm satisfies Capital+ condition 2 if it: (1) satisfies Capital+ condition 1 in accordance with 20.6 (1) or 20.6 (2); and (2) has total assets equal to or greater than £50 billion on an individual basis.
cand-00374,rule,b6c938865f2f1dd6,rule,20.8,Regulatory Reporting,20.8,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#3b00904374034d90970397890fb22c71,£50 billion; £5 billion; £320 billion,Monetary amount appears with threshold/trigger language.,"A firm satisfies Capital+ condition 3 : (1) if the firm is a UK parent institution , where it has retail deposits equal to or greater than £50 billion and total assets greater than £5 billion but less than £320 billion on the basis of its consolidated situation ; (2) if the firm is controlled by a UK parent financial holding company , UK parent mixed financial holding company or a UK parent institution and the PRA is responsible for supervision of that UK holding company or UK parent institution o n a consolidated basis , where it has retail deposits greater than or equal to £50 billion and total assets greater than £5 billion but less than £320 billion on the basis of the consolidated situation of that UK holding company or UK parent institution ; (3) if the firm is not part of a consolidation group , where it has retail deposits greater than £50 billion and total assets greater than £5 billion but less than £320 billion on an individual basis; or (4) if the firm is a ring-fenced body that is part of a sub-consolidation group , where it has retail deposits equal to or greater than £50 billion and total assets greater than £5 billion but less than £320 billion on a sub-consolidated"
cand-00375,rule,e8697974828034b8,rule,20.9,Regulatory Reporting,20.9,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#caddf5427bed4891acfe38e222930fa5,£50 billion,Monetary amount appears with threshold/trigger language.,A firm satisfies Capital+ condition 4 if it: (1) satisfies Capital+ condition 3 in accordance with 20.8 (1) or 20.8 (2); and (2) has total assets equal to or greater than £50 billion on an individual basis.
cand-00366,rule,5e7f283097876079,rule,7.2,Regulatory Reporting,7.2,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#e8e1db5fa4b1474fb93fe7d93662ca6d,£5 billion,Monetary amount appears with threshold/trigger language.,"Where a firm reports on a calendar year basis: (a) a month begins on the first day of the calendar month and ends on the last day of that month; (b) quarters end on 31 March, 30 June, 30 September and 31 December; and (c) half years end on 30 June and 31 December. (12) [deleted] (13) (a) If the reporting frequency would otherwise be weekly, the item is to be reported on every business day if (and for as long as) there is a specific liquidity stress or market liquidity stress in relation to the firm , branch or group in question. (b) If the reporting frequency would otherwise be monthly, the item is to be reported: (i) every business day if the firm has total assets , calculated in accordance with provisions implementing Council Directive 86/635/EEC, equal to or greater than £5 billion on an individual basis or UK consolidation group basis; and (ii) weekly if the firm has total assets , calculated in accordance with provisions implementing Council Directive 86/635/EEC, of less than £5 billion on both an individual basis and UK consolidation group basis, if (and for as long as) there is a specific liquidity stress or market liquidity stress in relation to the firm , branch or group i"
cand-00367,rule,5e7f283097876079,rule,7.2,Regulatory Reporting,7.2,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#e8e1db5fa4b1474fb93fe7d93662ca6d,EUR 30 billion,Monetary amount appears with threshold/trigger language.,"This requirement stops applying if the total assets of the firm on both an individual basis and UK consolidation group basis reduce to less than EUR 30 billion for at least four consecutive weekly reporting periods, in which case the firm is required to start reporting this data item monthly after the end of last consecutive reporting period; and (b) monthly if the firm has total assets , calculated in accordance with provisions implementing Council Directive 86/635/EEC, of less than EUR 30 billion on both an individual basis and UK consolidation group basis."
cand-00368,rule,5e7f283097876079,rule,7.2,Regulatory Reporting,7.2,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#e8e1db5fa4b1474fb93fe7d93662ca6d,EUR 30 billion,Monetary amount appears with threshold/trigger language.,"This requirement stops applying if during any monthly reporting period the total assets of the firm , on either an individual basis or UK consolidation group basis, become equal to or greater than EUR 30 billion, in which case the firm is required to start reporting this data item weekly after the end of that reporting period."
cand-00369,rule,d12f4d530f4c6bb2,rule,9.3,Regulatory Reporting,9.3,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#09ca42fb07ce402e9b374858a4f038be,£5 billion,Monetary amount appears with threshold/trigger language.,"If the change is that the firm does not have to report a particular data item or does not have to report it at a particular reporting level , the firm must nevertheless report that data item or at that reporting level for any reporting period that has already begun. (10) (a) If the reporting frequency would otherwise be weekly, the item is to be reported on every business day if (and for as long as) there is a specific liquidity stress or market liquidity stress in relation to the firm , branch or group in question. (b) If the reporting frequency would otherwise be monthly, the item is to be reported: (i) every business day if the firm has total assets , calculated in accordance with provisions implementing Council Directive 86/635/EEC, equal to or greater than £5 billion on an individual basis or UK consolidation group basis; and (ii) weekly if the firm has total assets , calculated in accordance with provisions implementing Council Directive 86/635/EEC, of less than £5 billion on both an individual basis and UK consolidation group basis, if (and for as long as) there is a specific liquidity stress or market liquidity stress in relation to the firm , branch or group in question. ("
cand-00370,rule,d12f4d530f4c6bb2,rule,9.3,Regulatory Reporting,9.3,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#09ca42fb07ce402e9b374858a4f038be,EUR 30 billion,Monetary amount appears with threshold/trigger language.,"This requirement stops applying if the total assets of the firm on both an individual basis and UK consolidation group basis reduce to less than EUR 30 billion for at least four consecutive weekly reporting periods, in which case the firm is required to start reporting this data item monthly after the end of last consecutive reporting period; and (b) monthly if the firm has total assets , calculated in accordance with provisions implementing Council Directive 86/635/EEC, of less than EUR 30 billion on both an individual basis and UK consolidation group basis."
cand-00371,rule,d12f4d530f4c6bb2,rule,9.3,Regulatory Reporting,9.3,https://www.prarulebook.co.uk/pra-rules/regulatory-reporting/01-06-2026#09ca42fb07ce402e9b374858a4f038be,EUR 30 billion,Monetary amount appears with threshold/trigger language.,"This requirement stops applying if during any monthly reporting period the total assets of the firm , on either an individual basis or UK consolidation group basis, become equal to or greater than EUR 30 billion, in which case the firm is required to start reporting this data item weekly after the end of that reporting period."
cand-00379,rule,66757c3a03d24841,rule,1.3,Remuneration,1.3,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#3d72d2b5066541698ff9b6bf504aa00f,€1 m,Monetary amount appears with threshold/trigger language.,CRR2 means Regulation (EU) 2019/876 of the European Parliament and of the Council of 20 May 2019. group has the meaning in section 421 FSMA . high earner means an employee (of a firm or of any consolidation group entity ) whose total annual remuneration is €1 million or more per year or its equivalent in another currency determined by reference to the conversion rate applicable to the corresponding High Earners Report under Chapter 18 .
cand-00380,rule,66757c3a03d24841,rule,1.3,Remuneration,1.3,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#3d72d2b5066541698ff9b6bf504aa00f,£4 billion; £20 billion,Monetary amount appears with threshold/trigger language.,"Remuneration Benchmarking Information Report means the report by which a firm provides to the PRA the information required in Chapter 17 . remuneration requirements means the requirements in 6 to 15A . remuneration statement means a statement provided to an employee by a previous firm in accordance with 15A.7 . share means the investment specified in Article 76 of the Regulated Activities Order (Shares etc). small CRR firm means a CRR firm that satisfies Condition 1 and, where the firm is part of a group containing any other firm subject to this Part on an individual basis, Condition 2, where: (1) Condition 1 is that the firm either: (a) has average total assets not exceeding £4 billion; or (b) satisfies the conditions in 2A.1 and has average total assets exceeding £4 billion but not exceeding £20 billion; and (2) Condition 2 is that where the firm is a member of a group , the criteria in (a) or (b) are satisfied in respect of any other firm in the group which is subject to this Part on an individual basis: (a) (i) the average total assets of each CRR firm in the group do not exceed £4 billion on an individual basis; (ii) the average total assets relating to the activities of the b"
cand-00384,rule,14b406330faeec70,rule,12.2,Remuneration,12.2,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#8d07e678f31946b480138afc03c73731,"£660,000",Monetary amount appears with threshold/trigger language.,"A firm that is not a small CRR firm or a small third country CRR firm must ensure that: (1) when an employee leaves the firm before retirement, any discretionary pension benefits are held by the firm for a period of five years in the form of instruments referred to in 15.15 ; and (2) when an employee reaches retirement, discretionary pension benefits are paid to the employee in the form of instruments referred to in 15.15 and subject to a five-year retention period, unless the: (A) total annual remuneration of the employee is no more than £660,000; and (B) annual variable remuneration of the employee is no more than 33% of the employee's total annual remuneration ."
cand-00385,rule,ff95a3cdeca2e0f9,rule,15.18,Remuneration,15.18,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#ea81e69208f54edf9752363153dc9e0a,"£660,000; £660,000 m",Monetary amount appears with threshold/trigger language.,"In the case of a variable remuneration component: (1) of £660,000 or more; or (2) payable to a director of a firm that is significant in terms of its size, internal organisation and the nature, scope and complexity of its activities; at least 40% of the first £660,000 and 60% of any amount in excess of £660,000 must be deferred on the basis set out in 15.17 ."
cand-00386,rule,1634fb00ac473bc9,rule,16.3,Remuneration,16.3,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#6d22edad553343179f03b73d79081f05,£50 billion,Monetary amount appears with threshold/trigger language.,Condition 1 is that the firm is a CRR firm that has relevant total assets exceeding £50 billion.
cand-00387,rule,92ccc5b39d4403f9,rule,16.4,Remuneration,16.4,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#3af86ad70f3d4e68b6299fd64e130f75,£50 billion,Monetary amount appears with threshold/trigger language.,Condition 2 is that the firm : (1) is a credit institution or a UK designated investment firm ; and (2) is part of a group containing a firm that has relevant total assets exceeding £50 billion and that is a CRR firm .
cand-00388,rule,16d1afc50a385354,rule,16.7,Remuneration,16.7,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#1fbf6532d5524667b4fed6dd713646e4,"£660,000",Monetary amount appears with threshold/trigger language.,"The voiding provisions in 16.9 to 16.13 do not apply in relation to a material risk taker (X) in respect of whom both the following conditions are satisfied: (1) Condition 1 is that X’s variable remuneration is no more than 33% of total remuneration ; and (2) Condition 2 is that X’s total remuneration is no more than £660,000."
cand-00389,rule,6f526621da97eb69,rule,17.1,Remuneration,17.1,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#d871a3a4a3cb43dbacbc41b8b8c44310,£50 billion,Monetary amount appears with threshold/trigger language.,"This Chapter applies to a firm to which this Part applies, which had total assets equal to or greater than £50 billion on an unconsolidated basis on the accounting reference date immediately prior to the firm’s last complete financial year."
cand-00390,rule,53800701f5ffbd86,rule,18.6,Remuneration,18.6,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#a454c5570f1f49dea58fbabbc62b2572,€1m,Monetary amount needs LLM review to distinguish threshold from ordinary mention.,"The firm’s High Earners Report must report, in pay brackets of €1m, the number of high earners , including their job responsibilities, the business area involved and the main elements of salary, bonus, long-term award and pension contribution."
cand-00381,rule,a3d090c9de40be57,rule,2A.1,Remuneration,2A.1,https://www.prarulebook.co.uk/pra-rules/remuneration/01-06-2026#d8f5f8bee6fa47e0abf9e1bcbb8af366,£44 m,Monetary amount appears with threshold/trigger language.,"The conditions referred to in (1)(b) and (2)(b) of the definition of small CRR firm and in (2)(b) of the definition of small third country CRR firm are the following: (1) Subject to 2A.2 , the size of the firm’s on- and off- balance-sheet trading book business was less than or equal to both £44 million and 5% of the firm’s total assets, on the basis of the assessment set out in Article 94(3) of Chapter 3 of Trading Book (CRR) Part: (a) on the last day of at least one of the preceding three months , and (b) on the last day of at least six of the preceding twelve months ; (2) The firm’s overall net foreign-exchange position, calculated using the method set out in Article 352 of CRR , does not "
